Time(s)	      V	      Theta      	Psi_V       X       Y       Z       Mass       Gamma       DeltaY       DeltaZ        Alpha       Beta       Gamma_V       nx2       ny2       nz2        mach       X       Y       Z       X0       Y0       Z0       X_delta       Y_delta        Z_delta       P       q       wx       DeltaY4       DeltaZ4       JX       YZ       S       L       mywx_beta  cy/cx 
0.480000       247.604010       0.000000       0.000000       119.423574       2.000000       0.000000       18.400000       0.000000       0.000000       7.995672       2.546387       0.000000       0.000000       -0.505221       1.000000       -0.000000       0.727643       91.101414       180.319025       0.000000       87.251790       163.992796       0.000000       3.849625       16.326230       0.000000       0.000000       37544.044489       0.000000       0.000000       7.995672       0.024000       1.570000       0.011400       1.027000       0.000000       1.979322       
0.490000       247.554507       0.000000       0.000000       121.899366       2.000000       0.000000       18.400000       0.000000       0.000000       8.000180       2.546997       0.000000       0.000000       -0.505026       1.000000       -0.000000       0.727497       91.066348       180.299252       0.000000       87.214855       163.969688       0.000000       3.851492       16.329564       0.000000       0.000000       37529.033676       0.000000       0.000000       8.000180       0.024000       1.570000       0.011400       1.027000       0.000000       1.979867       
0.500000       247.505020       0.000000       0.000000       124.374664       2.000000       0.000000       18.400000       0.000000       0.000000       8.007469       2.548218       0.000000       0.000000       -0.504869       1.000000       -0.000000       0.727352       91.037943       180.329208       0.000000       87.182286       163.989984       0.000000       3.855657       16.339223       0.000000       0.000000       37514.030728       0.000000       0.000000       8.007469       0.024000       1.570000       0.011400       1.027000       0.000000       1.980814       
0.510000       247.455553       0.000000       0.000000       126.849467       2.000000       0.000000       18.400000       0.000000       0.000000       8.014761       2.549438       0.000000       0.000000       -0.504711       1.000000       -0.000000       0.727207       91.009556       180.359134       0.000000       87.149737       164.010251       0.000000       3.859819       16.348883       0.000000       0.000000       37499.036915       0.000000       0.000000       8.014761       0.024000       1.570000       0.011400       1.027000       0.000000       1.981760       
0.520000       247.406102       0.000000       0.000000       129.323775       2.000000       0.000000       18.400000       0.000000       0.000000       8.016494       2.549438       0.000000       0.000000       -0.504480       1.000000       -0.000000       0.727061       90.967911       180.289634       0.000000       87.108529       163.943745       0.000000       3.859382       16.345889       0.000000       0.000000       37484.051137       0.000000       0.000000       8.016494       0.024000       1.570000       0.011400       1.027000       0.000000       1.981904       
0.530000       247.356668       0.000000       0.000000       131.797589       2.000000       0.000000       18.400000       0.000000       0.000000       8.023792       2.550659       0.000000       0.000000       -0.504323       1.000000       -0.000000       0.726916       90.939560       180.319524       0.000000       87.076021       163.963978       0.000000       3.863539       16.355546       0.000000       0.000000       37469.073388       0.000000       0.000000       8.023792       0.024000       1.570000       0.011400       1.027000       0.000000       1.982850       
0.540000       247.307255       0.000000       0.000000       134.270909       2.000000       0.000000       18.400000       0.000000       0.000000       8.031093       2.551880       0.000000       0.000000       -0.504166       1.000000       -0.000000       0.726771       90.911227       180.349385       0.000000       87.043534       163.984181       0.000000       3.867693       16.365204       0.000000       0.000000       37454.104753       0.000000       0.000000       8.031093       0.024000       1.570000       0.011400       1.027000       0.000000       1.983797       
0.550000       247.257858       0.000000       0.000000       136.743734       2.000000       0.000000       18.400000       0.000000       0.000000       8.032828       2.551880       0.000000       0.000000       -0.503936       1.000000       -0.000000       0.726626       90.869651       180.279925       0.000000       87.002399       163.917718       0.000000       3.867252       16.362207       0.000000       0.000000       37439.144135       0.000000       0.000000       8.032828       0.024000       1.570000       0.011400       1.027000       0.000000       1.983940       
0.560000       247.208477       0.000000       0.000000       139.216066       2.000000       0.000000       18.400000       0.000000       0.000000       8.040134       2.553101       0.000000       0.000000       -0.503779       1.000000       -0.000000       0.726481       90.841353       180.309750       0.000000       86.969952       163.937887       0.000000       3.871401       16.371863       0.000000       0.000000       37424.191526       0.000000       0.000000       8.040134       0.024000       1.570000       0.011400       1.027000       0.000000       1.984886       
0.570000       247.159117       0.000000       0.000000       141.687904       2.000000       0.000000       18.400000       0.000000       0.000000       8.047444       2.554321       0.000000       0.000000       -0.503622       1.000000       -0.000000       0.726336       90.813074       180.339547       0.000000       86.937527       163.958027       0.000000       3.875547       16.381520       0.000000       0.000000       37409.248012       0.000000       0.000000       8.047444       0.024000       1.570000       0.011400       1.027000       0.000000       1.985832       
